gene	syn	description	protein	fun_desc	essential
rlmF	ybiN	"23S rRNA m(6)A1618 methyltransferase, SAM-dependent"	"23S rRNA m(6)A1618 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlmG	"rsmD, ygjO"	"23S rRNA m(2)G1835 methyltransferase, SAM-dependent"	"23S rRNA m(2)G1835 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlmH	ybeA	23S rRNA m(3)Psi1915 pseudouridine methyltransferase; SAM-dependent	"23S rRNA m(3)Psi1915 pseudouridine methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlmI	yccW	"23S rRNA m(5)C1962 methyltransferase, SAM-dependent"	"23S rRNA m(5)C1962 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlmJ	yhiR	"23S rRNA m(6)A2030 methyltransferase, SAM-dependent"	"23S rRNA m(6)A2030 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlmL	"rlmK, rlmKL, ycbY"	Fused 23S rRNA m(2)G2445 and m(7)G2069 methyltransferase; SAM-dependent	"fused 23S rRNA m(2)G2445 and m(7)G2069 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlmM	ygdE	"23S rRNA C2498 2'-O-ribose methyltransferase, SAM-dependent"	"23S rRNA C2498 2'-O-ribose methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlmN	yfgB	"23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent; dual specificity"	"dual specificity 23S rRNA m(2)A2503, tRNA m(2)A37 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rlpA	None	"Septal ring protein, suppressor of prc, minor lipoprotein"	"septal ring protein, suppressor of prc, minor lipoprotein"	"Membrane; Macromolecule synthesis, modification: Lipoprotein"	N
rluA	yabO	"23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase; dual specificity"	"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent"	Enzyme; rRNA modification; tRNA modification	N
rluB	yciL	23S rRNA pseudouridine(2605) synthase	23S rRNA pseudouridine(2605) synthase	Enzyme; rRNA modification	N
rluC	yceC	"23S rRNA pseudouridine(955,2504,2580) synthase"	"23S rRNA pseudouridine(955,2504,2580) synthase"	Enzyme; rRNA modification	N
rluD	"sfhB, yfiI"	"23S rRNA pseudouridine(1911,1915,1917) synthase; mutation suppresses ftsH(Ts) mutants; null mutants grow very poorly in K-12 only"	"23S rRNA pseudouridine(1911,1915,1917) synthase"	Enzyme; rRNA modification	Y
rluE	ymfC	23S rRNA pseudouridine(2457) synthase	23S rRNA pseudouridine(2457) synthase	Enzyme; rRNA modification	N
rluF	yjbC	23S rRNA pseudouridine(2604) synthase	23S rRNA pseudouridine(2604) synthase	Enzyme; rRNA modification	N
rmf	None	Ribosome Modulation Factor RMF; binds 70S ribosome dimers to form 100S; occurs in stationary phase	ribosome modulation factor	Factor; Ribosomes - maturation and modification	N
rmuC	"dinK, sosB, yigN"	DNA recombination protein; mutants have elevated recombination at microhomologies	predicted recombination limiting protein	Phenotype; Not classified	N
rna	rnsA	"RNase I, periplasmic; endoribonuclease; RNase A; RNase M; RNase T2"	ribonuclease I	Enzyme; Degradation of RNA	N
rnb	None	RNase II; mRNA degradation	ribonuclease II	Enzyme; Degradation of RNA	N
rnc	ranA	RNase III; cleaves double-stranded RNA	RNase III	Enzyme; Degradation of RNA	Y
rnd	None	"RNase D, processes tRNA precursors"	ribonuclease D	Enzyme; Degradation of RNA	N
rne	"ams, hmp1, smbB"	RNase E; component of RNA degradosome; mRNA turnover; 5S and 16S RNA maturation	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein	Enzyme; Degradation of RNA	N
rng	"adhR, cafA, yhdF"	"Endoribonuclease G involved in 16S rRNA processing; division and growth, overexpression forms minicells and chains with long axial structures"	ribonuclease G	Structural component; Cell division	N
rnhA	"cer, dasF, herA, rnh, sdrA, sin"	RNase HI; participates in DNA replication	"ribonuclease HI, degrades RNA of DNA-RNA hybrids"	Enzyme; Degradation of RNA	N
rnhB	None	Degrades RNA of DNA-RNA hybrids; RNase HII; nicks DNA 5' to misincorporated ribonucleotides	"ribonuclease HII, degrades RNA of DNA-RNA hybrids"	Enzyme; Degradation of RNA	Y
rnk	None	Regulator of nucleoside diphosphate kinase; suppresses Pseudomonas algR2	regulator of nucleoside diphosphate kinase	Regulator; Central intermediary metabolism: Nucleotide interconversions	N
rnlA	"std, yfjN"	"RNase LS, endoribonuclease, toxin, affects mRNA stability; antitoxin is rnlB; CP4-57 putative defective prophage; target of phage T4 Dmd"	CP4-57 prophage; RNase LS	Phage or Prophage Related	N
rnlB	yfjO	"Antitoxin for RnlA, CP4-57 putative defective prophage"	CP4-57 prophage; predicted protein	Phage or Prophage Related	N
rnpA	None	"RNase P, C5 protein component; involved in tRNA and 4.5S RNA-processing"	protein C5 component of RNase P	Enzyme; Degradation of RNA|1.2.1 metabolism; macromolecule degradation; RNA|2.2.3 information transfer; RNA related; RNA modification|7.1 location of gene products; cytoplasm	N
rnpB	None	"RNase P, M1 RNA enzyme component; involved in transfer RNA and 4.5S RNA-processing"	Null	Null	N
rnr	"vacB, yjeC"	"Exoribonuclease R, RNase R"	"exoribonuclease R, RNase R"	Putative enzyme; Not classified	N
rnt	None	RNase T; RNA processing	ribonuclease T (RNase T)	Enzyme; Degradation of RNA	N
rob	"cbpB, robA"	"Right oriC-binding transcriptional activator, AraC family"	"right oriC-binding transcriptional activator, AraC family"	"Factor; DNA - replication, repair, restriction/modification"	N
rodZ	yfgA	Cytoskeletal protein required for MreB assembly; required for swarming phenotype; transmembrane protein	cytoskeletal protein required for MreB assembly	Putative membrane; Not classified	N
rof	"mesJ, yaeO"	anti-Rho (termination factor); pleiotropic multicopy suppressor of Ts mutations; ribosome-associated; growth-rate regulated	modulator of Rho-dependent transcription termination	Null	N
rpe	"dod, yhfD"	D-ribulose-5-phosphate 3-epimerase	D-ribulose-5-phosphate 3-epimerase	"Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway"	N
rpiA	ygfC	"Ribose-5-phosphate isomerase A, alkali-inducible"	"ribose 5-phosphate isomerase, constitutive"	"Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway"	N
rpiB	"alsB, alsI, yjcA"	Ribose-5-phosphate isomerase B; allose-6-phosphate isomerase	ribose 5-phosphate isomerase B/allose 6-phosphate isomerase	"Enzyme; Central intermediary metabolism: Non-oxidative branch, pentose pathway"	N
rpiR	"alsR, yjcY"	Repressor for als operon and rpiB	DNA-binding transcriptional repressor	"Regulator; Central intermediary metabolism: Non-oxidative branch, pentose pathway"	N
rplA	rpy	50S ribosomal subunit protein L1	50S ribosomal subunit protein L1	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplB	None	50S ribosomal subunit protein L2; binds Zn(II)	50S ribosomal subunit protein L2	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplC	None	50S ribosomal subunit protein L3	50S ribosomal subunit protein L3	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplD	eryA	50S ribosomal subunit protein L4; erythromycin sensitivity	50S ribosomal subunit protein L4	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplE	None	50S ribosomal subunit protein L5; 5S rRNA-binding	50S ribosomal subunit protein L5	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplF	None	50S ribosomal subunit protein L6; gentamicin sensitivity	50S ribosomal subunit protein L6	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplI	None	50S ribosomal subunit protein L9	50S ribosomal subunit protein L9	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplJ	None	50S ribosomal subunit protein L10; streptomycin resistance	50S ribosomal subunit protein L10	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplK	relC	50S ribosomal subunit protein L11; kasugamycin sensitivity	50S ribosomal subunit protein L11	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplL	None	50S ribosomal subunit protein L7/L12	50S ribosomal subunit protein L7/L12	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplM	None	50S ribosomal subunit protein L13; binds Zn(II)	50S ribosomal subunit protein L13	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplN	None	50S ribosomal subunit protein L14	50S ribosomal subunit protein L14	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplO	None	50S ribosomal subunit protein L15	50S ribosomal subunit protein L15	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplP	None	50S ribosomal subunit protein L16	50S ribosomal subunit protein L16	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplQ	None	50S ribosomal subunit protein L17	50S ribosomal subunit protein L17	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplR	None	50S ribosomal subunit protein L18; 5S rRNA-binding	50S ribosomal subunit protein L18	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplS	None	50S ribosomal subunit protein L19	50S ribosomal subunit protein L19	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplT	pdzA	50S ribosomal subunit protein L20	50S ribosomal subunit protein L20	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplU	None	50S ribosomal subunit protein L21	50S ribosomal subunit protein L21	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplV	eryB	50S ribosomal subunit protein L22; erythromycin sensitivity	50S ribosomal subunit protein L22	"Structural component; Ribosomal proteins - synthesis, modification"	N
rplW	None	50S ribosomal subunit protein L23	50S ribosomal subunit protein L23	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplX	None	50S ribosomal subunit protein L24	50S ribosomal subunit protein L24	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rplY	None	50S ribosomal subunit protein L25; 5S rRNA-binding 	50S ribosomal subunit protein L25	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpmA	rpz	50S ribosomal subunit protein L27	50S ribosomal subunit protein L27	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmB	None	50S ribosomal subunit protein L28	50S ribosomal subunit protein L28	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmC	None	50S ribosomal subunit protein L29	50S ribosomal subunit protein L29	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmD	None	50S ribosomal subunit protein L30	50S ribosomal subunit protein L30	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmE	None	50S ribosomal subunit protein L31	50S ribosomal subunit protein L31	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmF	None	50S ribosomal subunit protein L32	50S ribosomal subunit protein L32	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmG	None	50S ribosomal subunit protein L33	50S ribosomal subunit protein L33	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmH	"rimA, ssaF"	50S ribosomal subunit protein L34	50S ribosomal subunit protein L34	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmI	None	50S ribosomal subunit protein A (L35)	50S ribosomal subunit protein L35	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpmJ	secX	50S ribosomal subunit protein X (L36)	50S ribosomal subunit protein L36	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpoA	"pez, phs, sez"	"RNA polymerase, alpha subunit; binds Zn(II)"	"RNA polymerase, alpha subunit"	"Enzyme; RNA synthesis, modification, DNA transcription"	N
rpoB	"ftsR, groN, mbrD?, nitB, rif, ron, sdgB, stl, stv, tabD, tabG"	"RNA polymerase, beta subunit; binds Zn(II)"	"RNA polymerase, beta subunit"	"Enzyme; RNA synthesis, modification, DNA transcription"	Y
rpoC	tabB	"RNA polymerase, beta' subunit; binds Zn(II)"	"RNA polymerase, beta prime subunit"	"Enzyme; RNA synthesis, modification, DNA transcription"	Y
rpoD	alt	"RNA polymerase subunit, sigma 70, initiates transcription; housekeeping sigma"	"RNA polymerase, sigma 70 (sigma D) factor"	Factor; Global regulatory functions	Y
rpoE	sigE	"RNA polymerase subunit, extracytoplasmic stress sigma E; role in high temperature and oxidative stress response"	"RNA polymerase, sigma 24 (sigma E) factor"	Regulator; Global regulatory functions	N
rpoH	"fam, hin, htpR"	"RNA polymerase subunit, sigma 32, heat shock transcription"	"RNA polymerase, sigma 32 (sigma H) factor"	Factor; Global regulatory functions	N
rpoN	"glnF, ntrA"	"RNA polymerase subunit, sigma 54; needed for expression of various regulons, promoter specificity set by various activator proteins required for sigma 54 recruitment"	"RNA polymerase, sigma 54 (sigma N) factor"	Regulator; Global regulatory functions	N
rpoS	"abrD, appR, csi2, dpeB, katF, nur, otsX, sigS"	"RNA polymerase subunit, stress and stationary phase sigma S; Sigma38"	"RNA polymerase, sigma S (sigma 38) factor"	Enzyme; Global regulatory functions	N
rpoZ	spoS	"RNA polymerase subunit, omega subunit; assembly factor; chaperone-like function stabilizes RNAP"	"RNA polymerase, omega subunit"	"Enzyme; RNA synthesis, modification, DNA transcription"	N
rppH	"nudH, ygdP"	"RNA pyrophosphohydrolase, destabilizes primary transcripts"	RNA pyrophosphohydrolase	Putative factor; Not classified	N
rprA	"IS083, psrA5"	Positive regulatory antisense sRNA for rpoS translation	Null	Null	N
rpsA	ssyF	30S ribosomal subunit protein S1; subunit of RNA phage Q beta replicase; binds and stimulates RNAP	30S ribosomal subunit protein S1	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpsB	None	30S ribosomal subunit protein S2; binds Zn(II)	30S ribosomal subunit protein S2	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsC	None	30S ribosomal subunit protein S3	30S ribosomal subunit protein S3	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpsD	"ramA, sud(2)"	30S ribosomal subunit protein S4; NusA-like antitermination factor	30S ribosomal subunit protein S4	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpsE	"eps, spc, spcA"	30S ribosomal subunit protein S5	30S ribosomal subunit protein S5	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsF	sdgH	30S ribosomal subunit protein S6; suppressor of dnaG-Ts	30S ribosomal subunit protein S6	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsG	None	"30S ribosomal subunit protein S7, mutated stop codon"	30S ribosomal subunit protein S7	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpsH	None	30S ribosomal subunit protein S8	30S ribosomal subunit protein S8	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsI	None	30S ribosomal subunit protein S9	30S ribosomal subunit protein S9	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsJ	nusE	30S ribosomal subunit protein S10	30S ribosomal subunit protein S10	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsK	None	30S ribosomal subunit protein S11	30S ribosomal subunit protein S11	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpsL	"asuB, strA"	30S ribosomal subunit protein S12; RNA chaperone	30S ribosomal subunit protein S12	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsM	None	30S ribosomal subunit protein S13	30S ribosomal subunit protein S13	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsN	None	30S ribosomal subunit protein S14	30S ribosomal subunit protein S14	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsO	secC	30S ribosomal subunit protein S15	30S ribosomal subunit protein S15	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsP	None	30S ribosomal subunit protein S16; endonuclease	30S ribosomal subunit protein S16	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsQ	neaA	30S ribosomal subunit protein S17	30S ribosomal subunit protein S17	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsR	None	30S ribosomal subunit protein S18	30S ribosomal subunit protein S18	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpsS	None	30S ribosomal subunit protein S19	30S ribosomal subunit protein S19	"Structural component; Ribosomal proteins - synthesis, modification"	Y
rpsT	sup(s20)	30S ribosomal subunit protein S20	30S ribosomal subunit protein S20	"Structural component; Ribosomal proteins - synthesis, modification"	N
rpsU	None	30S ribosomal subunit protein S21	30S ribosomal subunit protein S21	"Structural component; Ribosomal proteins - synthesis, modification"	N
rraA	"menG, yiiV"	"Protein inhibitor of RNase E, modulates global mRNA abundance; trimeric"	ribonuclease E (RNase E) inhibitor protein	Null	N
rraB	yjgD	Protein inhibitor of RNase E	protein inhibitor of RNase E	Null	N
rrfA	None	5S rRNA of rrnA operon	Null	Null	N
rrfB	None	5S rRNA of rrnB operon	Null	Null	N
rrfC	None	5S rRNA of rrnC operon	Null	Null	N
rrfD	None	5S rRNA of rrnD operon	Null	Null	N
rrfE	None	5S rRNA of rrnE operon	Null	Null	N
rrfF	"rrfDbeta, rrvD"	5S rRNA of rrnD operon	Null	Null	N
rrfG	None	5S rRNA of rrnG operon	Null	Null	N
rrfH	None	5S rRNA of rrnH operon	Null	Null	N
rrlA	None	23S rRNA of rrnA operon	Null	Null	N
rrlB	None	23S rRNA of rrnB operon	Null	Null	N
rrlC	None	23S rRNA of rrnC operon	Null	Null	N
rrlD	None	23S rRNA of rrnD operon	Null	Null	N
rrlE	None	23S rRNA of rrnE operon	Null	Null	N
rrlG	None	23S rRNA of rrnG operon	Null	Null	N
rrlH	None	23S rRNA of rrnH operon	Null	Null	N
rrrD	"arrD, ybcS"	"Phage lambda lysozyme R protein homolog, DLP12 prophage"	DLP12 prophage; predicted lysozyme	Phage or Prophage Related	N
rrrQ	"arrQ, ydfQ"	"Phage lambda lysozyme R protein homolog, Qin prophage"	Qin prophage; predicted lysozyme	Phage or Prophage Related	N
rrsA	None	16S rRNA of rrnA operon	Null	Null	N
rrsB	None	16S rRNA of rrnB operon	Null	Null	N
rrsC	None	16S rRNA of rrnC operon	Null	Null	N
rrsD	None	16S rRNA of rrnD operon	Null	Null	N
rrsE	None	16S rRNA of rrnE operon	Null	Null	N
rrsG	None	16S rRNA of rrnG operon	Null	Null	N
rrsH	None	16S rRNA of rrnH operon	Null	Null	N
rsd	yjaE	Regulates RNA polymerase holoenzyme formation; interacts with free sigma 70 and core RNA polymerase; stationary phase protein; anti-sigma	"stationary phase protein, binds sigma 70 RNA polymerase subunit"	Regulator; Not classified	N
rseA	"mclA, yfiJ"	"Anti-RpoE sigma factor, spans inner membrane"	anti-sigma factor	Regulator; Global regulatory functions	N
rseB	None	Binds periplasmic domain of anti-RpoE sigma factor RseA; enhances RpoE-RseA cytoplasmic complex formation	"anti-sigma E factor, binds RseA"	Regulator; Global regulatory functions	N
rseC	None	Required for the reduction of SoxR	RseC protein involved in reduction of the SoxR iron-sulfur cluster	Regulator; Global regulatory functions	N
rseP	"ecfE, yaeL"	Inner membrane zinc RIP metalloprotease; activates RpoE by degrading RseA; multicopy rpoE suppresses rseP mutation	"inner membrane zinc RIP metalloprotease; RpoE activator, by degrading RseA; cleaved signal peptide endoprotease"	Null	N
rseX	IS96	"sRNA regulating ompA and ompC translation, with Hfq"	Null	Null	N
rsfS	"rsfA, slm3, ybeB"	Ribosomal silencing factor	ribosomal silencing factor	Factor; Ribosomes - maturation and modification	N
rsgA	"engC, yjeQ"	"Ribosome-stimulated GTPase, 30S subunit assemby; low adundance protein; putative RNA binding protein"	ribosome small subunit-dependent GTPase A	Null	N
rsmA	ksgA	"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent; mutant is kasugamycin resistant; multicopy suppressor of era(Cs)"	"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent"	Enzyme; rRNA modification; drug/analog sensitivity	N
rsmB	"fmu, fmv, rrmB, sun, yhdB"	"16S rRNA m(5)C967 methyltransferase, SAM-dependent"	"16S rRNA m(5)C967 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rsmC	yjjT	"16S rRNA m(2)G1207 methyltransferase, SAM-dependent"	"16S rRNA m(2)G1207 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rsmD	yhhF	"16S rRNA m(2)G966 methyltransferase, SAM-dependent"	"16S rRNA m(2)G966 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rsmE	yggJ	"16S rRNA m(3)U1498 methyltransferase, SAM-dependent"	"16S rRNA m(3)U1498 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rsmF	yebU	"16S rRNA m(5)C1407 methyltransferase, SAM-dependent"	"16S rRNA m(5)C1407 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rsmG	gidB	"16S rRNA m(7)G527 methyltransferase, SAM-dependent; mutant has low level streptomycin resistance"	"16S rRNA m(7)G527 methyltransferase, SAM-dependent; glucose-inhibited cell-division protein"	"Enzyme; rRNA modification; phenotype; DNA - replication, repair, restriction/modification"	N
rsmH	"mraW, yabC"	"16S rRNA m(4)C1402 methyltranserfase, SAM-dependent; membrane-associated. expressed gene in dcw gene cluster; non-essential"	"16S rRNA m(4)C1402 methyltranserfase, SAM-dependent"	Enzyme; rRNA modification	N
rsmI	yraL	"16S rRNA C1402 2'-O-ribose methyltransferase, SAM-dependent"	"16S rRNA C1402 2'-O-ribose methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rsmJ	yhiQ	"16S rRNA m(2)G1516 methyltransferase, SAM-dependent"	"16S rRNA m(2)G1516 methyltransferase, SAM-dependent"	Enzyme; rRNA modification	N
rspA	None	Bifunctional D-altronate/D-mannonate dehydratase; overproduction prevents homoserine lactone-induced synthesis of RpoS	bifunctional D-altronate/D-mannonate dehydratase	Phenotype; Global regulatory functions	N
rspB	None	"Function unknown, transcribed with rspA, starvation induced"	"predicted oxidoreductase, Zn-dependent and NAD(P)-binding"	Enzyme; Global regulatory functions	N
rssA	ychK	"Predicted phospholipase, patatin-like family, function unknown"	"predicted phospholipase, patatin-like family"	Null	N
rssB	"hnr, mviA(S.t.), sprE, verA, ychL"	Response regulator binding RpoS to initiate proteolysis by ClpXP; required for the PcnB-degradosome interaction during stationary phase; major cognate sensor kinase is ArcB	response regulator binding RpoS to initiate proteolysis by ClpXP; required for the PcnB-degradosome interaction during stationary phase	"Regulator; Basic proteins - synthesis, modification"	N
rstA	urpT	"Multicopy suppressor of yjeE, yeaZ or ygjD deletion lethality; predicted response regulator of two-component regulatory system with sensor protein RstB"	"multicopy supressor of yjeE, yeaZ or ygjD deletion lethality, predicted response regulator of two-component regulatory system with sensor protein RstB"	Regulator; Not classified	N
rstB	uspT	Sensory histidine kinase in two-component regulatory system with RstA	sensory histidine kinase in two-component regulatory system with RstA	Regulator; Global regulatory functions	N
rsuA	yejD	16S rRNA pseudouridine(516) synthase	16S rRNA pseudouridine(516) synthase	Enzyme; rRNA modification	N
rsxA	"rnfA(R.c.), ydgL"	Required for the reduction of SoxR; inner membrane protein	electron transport complex protein required for the reduction of SoxR	Null	N
rsxB	"rnfB(R.c.), ydgM"	Required for the reduction of SoxR; predicted iron-sulfur protein	"electron transport complex protein, iron-sulfur protein, required for the reduction of SoxR"	Null	N
rsxC	"rnfC(R.c.), ydgN"	Electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase	electron transport complex protein required for the reduction of SoxR; predicted membrane-associated NADH oxidoreductase	Putative membrane; Not classified	N
rsxD	"rnfD(R.c.), ydgO"	Electron transport complex protein required for the reduction of SoxR; predicted membrane protein	electron transport complex protein required for the reduction of SoxR; predicted membrane protein	Null	N
rsxE	"rnfE(R.c.), ydgQ"	Required for the reduction of SoxR; membrane protein	electron transport complex inner membrane NADH-quinone reductase required for the reduction of SoxR	Null	N
rsxG	"rnfG(R.c.), ydgP"	Required for the reduction of SoxR; putative membrane protein	electron transport complex protein required for the reduction of SoxR	Null	N
rtcA	"yhgJ, yhgK"	RNA 3'-terminal phosphate cyclase; 5' adenylyltransferase; physiological role unknown	RNA 3'-terminal phosphate cyclase	"Enzyme; RNA synthesis, modification, DNA transcription|2.2 information transfer; RNA related|2.2.3 information transfer; RNA related; RNA modification|7.1 location of gene products; cytoplasm"	N
rtcB	yhgL	RNA ligase	conserved protein	Null	N
rtcR	yhgB	Transcriptional regulator for rtcAB	sigma 54-dependent transcriptional regulator of rtcBA expression	Putative regulator; Not classified	N
rtn	None	Predicted membrane-anchored cyclic-di-GMP phosphodiesterase; overexpression confers resistance to phages lambda and N4	"resistance protein for phages lambda and N4, when overexpressed, predicted membrane-anchored cyclic-di-GMP phosphodiesterase"	Null	N
rttR	"rtT, rtV1"	"rtT sRNA, processed from tyrT transcript; encodes putative Tpr protein; RNA itself may modulate the stringent response"	Null	Null	N
rusA	"rus, ybcP"	"Endonuclease, Holliday structure resolvase, DLP12 prophage"	DLP12 prophage; endonuclease RUS	Enzyme; Degradation of DNA; Phage or Prophage Related	N
rutA	ycdM	"Pyrimidine oxygenase, FMN-dependent; pyrimidine nitrogen catabolism; requires RutF to regenerate FMN in vivo"	"pyrimidine oxygenase, FMN-dependent"	Enzyme; Pyrimidine nitrogen catabolism	N
rutB	ycdL	Ureidoacrylate amidohydrolase; pyrimidine nitrogen catabolism	ureidoacrylate amidohydrolase	Enzyme; Pyrimidine nitrogen catabolism	N
rutC	ycdK	Putative aminoacrylate deaminase; reactive intermediate detoxification; required for pyrimidine nitrogen degradation in vivo but not in vitro	"putative aminoacrylate deaminase, reactive intermediate detoxification"	Enzyme; Pyrimidine nitrogen catabolism	N
rutD	ycdJ	Putative aminoacrylate hydrolase; reactive intermediate detoxification; required for pyrimidine nitrogen degradation in vivo but not in vitro	"putative aminoacrylate hydrolase, reactive intermediate detoxification"	Enzyme; Pyrimidine nitrogen catabolism	N
rutE	ycdI	"Malonic semialdehyde reductase; pyrimidine nitrogen catabolism; reduces toxic product malonic semaldehyde to 3-hydroxypropionic acid, which is excreted; required for pyrimidine nitrogen degradation in vivo but not in vitro"	malonic semialdehyde reductase	Enzyme; Pyrimidine nitrogen catabolism	N
rutF	ycdH	 Flavin:NADH reductase; required for the regeneration of FMN for RutA in vivo	flavin:NADH reductase	Enzyme; Pyrimidine nitrogen catabolism	N
rutG	ycdG	Pyrimidine permease; pyrimidine nitrogen catabolism; required for efficient utilization of uracil and thymine	pyrimidine permease	Transport; Pyrimidine nitrogen catabolism	N
rutR	ycdC	Repressor for rut operon; pyrimidine nitrogen catabolism	DNA-binding transcriptional repressor for rut operon	Regulator; Pyrimidine nitrogen catabolism	N
ruvA	None	"Holliday junction recognition factor, recruits RuvB; works in conjunction with RuvB helicase to drive branch migration during recombination"	"component of RuvABC resolvasome, regulatory subunit"	"Enzyme; DNA - replication, repair, restriction/modification"	N
ruvB	None	DNA helicase driving branch migration during recombination; hexameric ring	"ATP-dependent DNA helicase, component of RuvABC resolvasome"	"Enzyme; DNA - replication, repair, restriction/modification"	N
ruvC	None	"RuvC endonuclease, Holliday structure resolvase; not SOS regulated"	"component of RuvABC resolvasome, endonuclease"	"Enzyme; DNA - replication, repair, restriction/modification"	N
rybB	p25	sRNA effector of ompC and ompW mRNA instability; requires Hfq	Null	Null	N
rydB	"IS082, tpe7"	"Novel sRNA, function unknown"	Null	Null	N
rydC	IS067	"sRNA regulator of yejABEF; over-expression causes a thermosensitive growth phenotype on minimal glycerol, maltose, or ribose media"	Null	Null	N
ryeA	"IS091, psrA8, sraC, tpke79"	"Novel sRNA, function unknown"	Null	Null	N
ryeB	"sdsR, tpke79"	"Stationary phase sRNA, function unknown"	Null	Null	N
ryfA	"PAIR3b, tp1"	"Novel sRNA, function unknown"	Null	Null	N
ryfD	None	"Novel sRNA, function unknown"	Null	Null	N
ryhB	"IS176, psrA18, sraI"	Regulatory sRNA mediating positive Fur regulon response; requires Hfq for function; global iron regulator; degraded by RNase E when bound to target	Null	Null	N
ryjA	sraL	"Novel sRNA, function unknown"	Null	Null	N
ryjB	None	"Novel sRNA, function unknown"	Null	Null	N
